h,degree,kappa,method,pc_type,preonly,FMM Order,ndofs,L^2 Relative Error,H^1 Relative Error,Iteration Number,Residual Norm,Converged Reason,ksp_rtol,ksp_atol
0.03125,1,7.0,pml,lu,False,,44661,0.007509889444234224,0.012251693587814302,2,9.680531704385175e-15,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,7.0,transmission,lu,False,,44661,0.03317165365246481,0.033171444298922485,2,2.898360130025483e-14,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,7.0,nonlocal_integral_eq,lu,False,49,44661,0.008567372788879094,0.012870409540668749,7,3.554619320769541e-14,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,10.0,pml,lu,False,,44661,0.02235380305685342,0.026110838519307043,2,1.615029709393905e-14,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,10.0,transmission,lu,False,,44661,0.03591601897266337,0.03853333991705922,4,7.453548085095805e-14,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,10.0,nonlocal_integral_eq,lu,False,49,44661,0.022586419612993507,0.026489393833921356,7,7.775139729032928e-14,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,0.1,pml,lu,False,,178819,0.0003206824289760842,0.0009629704256723375,5,1.0138881000208154e-12,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,0.1,transmission,lu,False,,178819,0.7801618307101287,0.7543705952499938,3,1.3470421120779255e-12,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,0.1,nonlocal_integral_eq,lu,False,49,178819,0.006163434422411059,0.0059607511290813925,9,1.379347775447402e-12,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,0.5,pml,lu,False,,178819,8.669122930856431e-05,0.0002614215066575808,2,3.365816878296877e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,0.5,transmission,lu,False,,178819,0.17631879261154265,0.1513878743527766,2,1.451646441415876e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,0.5,nonlocal_integral_eq,lu,False,49,178819,0.0011863115500553372,0.0010476818536052205,6,6.98816419456259e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,1.0,pml,lu,False,,178819,4.7343478622883274e-05,0.0005347476669173166,2,4.379999214512409e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,1.0,transmission,lu,False,,178819,0.06434168392198783,0.05445729008998019,4,5.09303591814614e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,1.0,nonlocal_integral_eq,lu,False,49,178819,0.00043146315090796666,0.000639163517793571,7,4.04361344097416e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,2.0,pml,lu,False,,178819,5.7226835987927074e-05,0.0012457766820571379,2,3.3585720903919e-14,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,2.0,transmission,lu,False,,178819,0.04674889889667263,0.04639699607125916,2,1.9130392387140924e-13,CONVERGED_RTOL,1e-14,1e-50
